Muestra;Humedad total;Materia Volatil;;Cenizas;;Carbono Fijo;;Poder Calorífico Superior;;;;Azufre;;Carbono;;Hidrogeno;;Nitrogeno;;OxÍgeno;;Poder Calorífico Inferior;;Rendimiento
;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;kcal/kg;;BTU/lb;;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;BTU/lb;;% en peso
;;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;BH;BS;
H-200-5;4.99;56.83;59.81;30.38;31.98;7.81;8.22;;3366.329623;;6059.393321;0.07;0.07;35.65;37.53;3.9;4.11;0.34;0.36;24.73;25.95;;;64.27422102
H-200-10;5.85;64.78;68.8;21.11;22.42;8.27;8.78;;4071.531138;;7328.756048;0.07;0.07;40.94;43.48;4.59;4.88;0.51;0.55;26.99;28.6;;;60.76360885
H-300-5;1.19;23.39;23.68;62.06;62.81;13.35;13.52;;2576.022618;;4636.840713;0.08;0.08;31.93;32.32;2.55;2.58;0.42;0.43;1.84;1.78;;;54.19767787
H-300-10;1.37;28.84;29.24;49.48;50.17;20.32;20.6;;3623.126052;;6521.626894;0.08;0.09;41.51;42.08;3.25;3.3;0.57;0.58;3.83;3.79;;;45.1075622
H-250-7.5;2.37;34.14;34.97;50.76;51.99;12.74;13.05;;3074.57793;;5534.240274;0.08;0.08;35.37;36.23;3.18;3.26;0.47;0.48;7.85;7.96;;;65.48748125
H-250-7.5;1.76;23.82;24.25;67.21;68.42;7.21;7.34;;1371.081278;;2467.9463;0.06;0.06;20.12;20.48;1.99;2.03;0.34;0.35;8.58;8.67;;;62.40423372
H-250-7.5;2.1;23.67;24.18;67.98;69.43;6.26;6.39;;1728.637573;;3111.547632;0.08;0.08;23.26;23.76;2.25;2.3;0.44;0.45;3.97;3.98;;;54.8748875
H-180-7.5;5.95;60.32;64.14;25.13;26.72;8.6;9.14;;3687.697127;;6637.854829;0.07;0.08;37.48;39.85;4.36;4.64;0.27;0.29;26.81;28.43;;;65.33969435
H-250-4;2.19;33.39;34.14;46.95;48;17.47;17.86;;3374.879383;;6074.78289;0.07;0.07;38.38;39.24;3.29;3.37;0.56;0.57;8.63;8.75;;;52.32649775
H-321-7.5;1.17;27.68;28.01;51.78;52.39;19.37;19.6;;4179.291042;;7522.723875;0.08;0.08;46.61;47.16;3.69;3.73;0.57;0.58;-3.82;-3.94;;;46.72073716
H-250-11;2.19;38.17;39.02;43.36;44.33;16.29;16.65;;3498.8253;;6297.88554;0.07;0.08;39.33;40.21;3.47;3.54;0.48;0.49;11.18;11.35;;;49.88811148
original;8.46;54.69;59.74;30.36;33.17;6.49;7.09;2755.5;3010.4;4960;5419;0.2;0.22;31.36;34.26;3.98;4.35;0.06;0.07;25.58;27.93;4494;4909;
