Muestra;Fe;Si;Al;S;Ca;K;Mg;P;Pb;Cl;Zn;Cu;Mn;Cr;Ti
;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;% en peso;mg/Kg ;mg/Kg ;mg/Kg ;mg/Kg ;mg/Kg 
;;;;;;;;;;;;;;;
H-200-5;3.57;14.07;1.36;0.22;2.21;0.68;0.22;0.07;0.01;0.01;39.4;26.45;151.28;119.74;14202.1
H-200-10;2.55;14.3;1.34;0.43;1.92;0.62;0;0.09;0.26;0.02;30.5;90.21;79.74;0;14124.19
H-300-5;5.15;19.8;2.53;0.3;2.52;1.05;0.3;0.2;0.04;0;64.33;36.66;272.29;194.94;13595.11
H-300-10;4.16;16.93;1.82;0.35;2.02;0.77;0.35;0.2;0.03;0.01;59.8;53.7;249.06;352.81;11761.99
H-250-7.5;3.16;16.29;1.45;0.33;2.01;0.82;0.33;0.22;0.03;0.01;36.26;16.77;128.8;101.35;14988.07
H-250-7.5;3.31;19.37;2.31;0.23;2.33;1.04;0.23;0.19;0.03;0;45.98;11.91;197.06;137.35;11761.04
H-250-7.5;4.46;17.57;2.37;0.21;2.32;0.95;0.21;0.14;0.01;0.01;67.09;19.72;292.02;165.46;10077.52
H-180-7.5;3.58;20.44;2.12;0.28;2.88;0.9;0.28;0.15;0.04;0.03;41.26;24.04;204.71;263.81;11286.36
H-250-4;2.75;18.26;1.57;0.37;2.35;0.81;0;0.32;0.09;0;49.49;28.05;115.54;55.05;12746.16
H-321-7.5;2.84;16.01;1.3;0.41;1.88;0.8;0.41;0.32;0.01;0.01;30.39;0;90.12;40.98;13102.75
H-250-11;2.2;14.28;1.2;0.38;1.8;0.66;0.38;0.35;0.12;0.01;30.03;38.01;96.34;0;13096.24
original;4.018;12.23;1.16;1.197;3.508;1.542;0;0.178;0.004;0.271;59.66;27.11;213.04;41.74;15103.66
Blanco;0.05;1.19;0.12;0.07;0.56;0.23;0;0;0.01;0;0;0;0;0;13613.9
